superkingdom_id	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9709: 'Phocidae'}	{1907176: 'Neomonachus'}	{29088: 'Neomonachus schauinslandi'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9655: 'Mustelidae'}	{34881: 'Enhydra'}	{34882: 'Enhydra lutris'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9747: 'Monodontidae'}	{9748: 'Delphinapterus'}	{9749: 'Delphinapterus leucas'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489907: 'Carangiformes'}	{8157: 'Carangidae'}	{8160: 'Seriola'}	{41447: 'Seriola dumerili'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{591932: 'Piliocolobus'}	{591936: 'Piliocolobus tephrosceles'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489907: 'Carangiformes'}	{8157: 'Carangidae'}	{8160: 'Seriola'}	{302047: 'Seriola lalandi'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{8459: 'Testudines'}	{8476: 'Emydidae'}	{85610: 'Terrapene'}	{2587831: 'Terrapene triunguis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{76071: 'Beloniformes'}	{47757: 'Adrianichthyidae'}	{8089: 'Oryzias'}	{30732: 'Oryzias melastigma'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9415: 'Phyllostomidae'}	{9429: 'Desmodus'}	{9430: 'Desmodus rotundus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9740: 'Phocoenidae'}	{34891: 'Neophocaena'}	{189058: 'Neophocaena asiaeorientalis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9564: 'Theropithecus'}	{9565: 'Theropithecus gelada'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9608: 'Canidae'}	{9611: 'Canis'}	{9612: 'Canis lupus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9702: 'Otariidae'}	{34883: 'Callorhinus'}	{34884: 'Callorhinus ursinus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9608: 'Canidae'}	{9625: 'Vulpes'}	{9627: 'Vulpes vulpes'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489911: 'Cichliformes'}	{8113: 'Cichlidae'}	{8152: 'Astatotilapia'}	{8154: 'Astatotilapia calliptera'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7952: 'Cypriniformes'}	{7953: 'Cyprinidae'}	{7956: 'Carassius'}	{7957: 'Carassius auratus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{43697: 'Synbranchiformes'}	{94233: 'Mastacembelidae'}	{94234: 'Mastacembelus'}	{205130: 'Mastacembelus armatus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{55153: 'Sciuridae'}	{1141645: 'Urocitellus'}	{9999: 'Urocitellus parryii'}
