kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{591932: 'Piliocolobus'}	{591936: 'Piliocolobus tephrosceles'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489907: 'Carangiformes'}	{8157: 'Carangidae'}	{8160: 'Seriola'}	{302047: 'Seriola lalandi'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{8459: 'Testudines'}	{8476: 'Emydidae'}	{85610: 'Terrapene'}	{158814: 'Terrapene carolina'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{76071: 'Beloniformes'}	{47757: 'Adrianichthyidae'}	{8089: 'Oryzias'}	{30732: 'Oryzias melastigma'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9415: 'Phyllostomidae'}	{9429: 'Desmodus'}	{9430: 'Desmodus rotundus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9740: 'Phocoenidae'}	{34891: 'Neophocaena'}	{189058: 'Neophocaena asiaeorientalis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9564: 'Theropithecus'}	{9565: 'Theropithecus gelada'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9608: 'Canidae'}	{9611: 'Canis'}	{9612: 'Canis lupus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9702: 'Otariidae'}	{34883: 'Callorhinus'}	{34884: 'Callorhinus ursinus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9608: 'Canidae'}	{9625: 'Vulpes'}	{9627: 'Vulpes vulpes'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489911: 'Cichliformes'}	{8113: 'Cichlidae'}	{8152: 'Astatotilapia'}	{8154: 'Astatotilapia calliptera'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7952: 'Cypriniformes'}	{7953: 'Cyprinidae'}	{7956: 'Carassius'}	{7957: 'Carassius auratus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{43697: 'Synbranchiformes'}	{94233: 'Mastacembelidae'}	{94234: 'Mastacembelus'}	{205130: 'Mastacembelus armatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{55153: 'Sciuridae'}	{1141645: 'Urocitellus'}	{9999: 'Urocitellus parryii'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9632: 'Ursidae'}	{9639: 'Ursus'}	{9644: 'Ursus arctos'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8602: 'Elapidae'}	{8672: 'Pseudonaja'}	{8673: 'Pseudonaja textilis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7995: 'Siluriformes'}	{7999: 'Pangasiidae'}	{30992: 'Pangasianodon'}	{310915: 'Pangasianodon hypophthalmus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8002: 'Gymnotiformes'}	{30771: 'Gymnotidae'}	{8004: 'Electrophorus'}	{8005: 'Electrophorus electricus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9726: 'Delphinidae'}	{27609: 'Lagenorhynchus'}	{90247: 'Lagenorhynchus obliquidens'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7995: 'Siluriformes'}	{31013: 'Bagridae'}	{641818: 'Tachysurus'}	{1234273: 'Tachysurus fulvidraco'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9895: 'Bovidae'}	{9903: 'Bos'}	{30522: 'Bos indicus x Bos taurus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9702: 'Otariidae'}	{9703: 'Zalophus'}	{9704: 'Zalophus californianus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{38609: 'Diprotodontia'}	{9338: 'Vombatidae'}	{29138: 'Vombatus'}	{29139: 'Vombatus ursinus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{55153: 'Sciuridae'}	{9992: 'Marmota'}	{93162: 'Marmota flaviventris'}
